,0
0,-0.013730000000000003
1,-0.02039
2,-0.02354
3,-0.02261
4,-0.01262
5,-0.020900000000000002
6,-0.01918
7,-0.0226
8,-0.01964
9,-0.021690000000000004
10,-0.021190000000000004
11,-0.012209999999999999
12,-0.016250000000000004
13,-0.021280000000000004
14,-0.02096
15,-0.02067
16,-0.021540000000000004
17,-0.02324
18,-0.021630000000000003
19,-0.016500000000000004
20,-0.02458
21,-0.022040000000000004
22,-0.02458
23,-0.026640000000000004
24,-0.025210000000000003
25,-0.02678
26,-0.02335
27,-0.02535
28,-0.020540000000000003
29,-0.017750000000000002
30,-0.01815
31,-0.014610000000000001
32,-0.017500000000000005
33,-0.01572
34,-0.019670000000000003
35,-0.014499999999999999
36,-0.015140000000000004
37,-0.01746
38,-0.018270000000000005
39,-0.01783
40,-0.02036
41,-0.021070000000000002
42,-0.015270000000000002
43,-0.013210000000000003
44,-0.0044399999999999995
45,-0.017230000000000002
46,-0.0182
47,-0.01783
48,-0.01887
49,-0.014869999999999998
50,-0.010500000000000006
51,-0.01184
52,-0.009489999999999998
53,-0.01116
54,-0.008220000000000005
55,-0.009320000000000002
56,-0.01564
57,-0.02092
58,-0.01914
59,-0.016290000000000002
60,-0.011340000000000003
61,-0.01709
62,-0.005390000000000006
63,-0.011269999999999999
64,-0.01253
65,-0.015600000000000003
66,-0.0097
67,-0.014140000000000003
68,-0.015780000000000002
69,-0.01816
70,-0.01849
71,-0.020110000000000003
72,-0.02035
73,-0.018460000000000004
74,-0.015290000000000002
75,-0.013720000000000003
76,-0.02021
77,-0.0181
78,-0.016620000000000003
79,-0.01609
80,-0.008489999999999998
81,-0.012660000000000001
82,-0.007460000000000001
83,-0.01997
84,-0.016720000000000002
85,-0.018460000000000004
86,-0.016860000000000003
87,-0.011980000000000001
88,-0.012270000000000003
89,-0.008940000000000003
90,-0.019760000000000003
91,-0.01641
92,-0.006499999999999999
93,-0.00544
94,1.9999999999999185e-05
95,-0.0017700000000000007
96,-0.00843
97,-0.0074800000000000005
98,-0.010580000000000003
99,-0.011269999999999999
100,-0.014670000000000006
101,-0.007849999999999996
102,-0.020220000000000002
103,-0.008990000000000005
104,-0.015890000000000005
105,-0.027970000000000002
106,-0.01922
107,-0.01709
108,-0.03859
109,-0.04868
110,-0.00401
111,0.016939999999999997
112,-0.03402
113,-0.02548
114,-0.015590000000000003
115,-0.026770000000000002
116,-0.0286
117,-0.028700000000000003
118,-0.022270000000000005
119,-0.03856
120,-0.04122
121,-0.009770000000000001
122,-0.02357
123,-0.008440000000000003
124,-0.030670000000000003
125,-0.0028800000000000006
126,-0.0014300000000000007
