HEZJ,CNN,or
0.01026,-0.009691753,-0.00977
0.01426,-0.012034066,-0.00562
0.00124,-0.012918426,-0.01348
0.0032,-0.014752632,-0.01152
0.0031,-0.013363404,-0.01698
-0.01708,-0.013359826,-0.03025
0.00619,-0.017655898,-0.01475
-0.00208,-0.01482328,-0.01488
-0.00771,-0.012391042,-0.02025
-0.01071,-0.017716099,-0.02457
0.0067,-0.021765413,-0.01262
0.00935,-0.018359981,-0.01261
-0.00193,-0.014615582,-0.01143
0.01072,-0.016685273,-0.0119
0.00403,-0.017244337,-0.015
-0.00297,-0.016228033,-0.02074
0.00512,-0.017727327,-0.01722
0.00868,-0.016815502,-0.02229
0.00364,-0.016356803,-0.00736
0.00107,-0.013514634,-0.00386
-0.0017,-0.012987828,-0.02252
0.00183,-0.017226994,-0.02022
-0.00264,-0.01829218,-0.01592
-0.00381,-0.016735544,-0.02436
-0.00678,-0.019147534,-0.01689
-0.01582,-0.018226491,-0.03952
-0.00787,-0.022982549,-0.03021
-0.00092,-0.02287826,-0.02091
-0.01184,-0.018703891,-0.02654
-0.01234,-0.02150684,-0.02789
-0.00562,-0.024970325,-0.0234
-0.00278,-0.020937016,-0.02099
-0.00418,-0.021325285,-0.02225
-0.00158,-0.022415755,-0.02341
-0.01136,-0.02272741,-0.0342
-0.0119,-0.025980394,-0.03211
-0.00769,-0.027074374,-0.01579
-0.01852,-0.021670526,-0.02859
-0.00504,-0.024258906,-0.02503
-0.0005,-0.022857511,-0.01208
-0.00984,-0.01816274,-0.02265
-0.01584,-0.020389492,-0.03236
-0.01384,-0.024606442,-0.03677
0.00566,-0.027382009,-0.01611
-0.01058,-0.021263061,-0.03132
-0.00322,-0.022813953,-0.0223
-0.00136,-0.021050211,-0.01558
0.00243,-0.01904179,-0.00915
-0.00946,-0.018373268,-0.02522
-0.00778,-0.021531353,-0.03328
0.00184,-0.026161693,-0.01512
0.00389,-0.020144414,-0.01796
-0.01692,-0.017032508,-0.03941
-0.01901,-0.023594234,-0.03524
0.00603,-0.028053982,-0.01879
-0.00889,-0.019913238,-0.024
-0.01516,-0.019624235,-0.03928
0.00729,-0.02933272,-0.01592
-0.01449,-0.026055504,-0.03351
-0.0064,-0.025896175,-0.02181
-0.00762,-0.023483824,-0.01394
0.00449,-0.018748531,-0.0185
0.006,-0.018941246,-0.01874
-0.01153,-0.017885102,-0.03146
-0.00353,-0.022022186,-0.0196
-0.00055,-0.020829743,-0.01864
-0.01465,-0.017798126,-0.03011
-0.012,-0.022316797,-0.03039
-0.01531,-0.02455592,-0.03355
-0.00475,-0.024914296,-0.02432
-0.00123,-0.02308899,-0.01878
0.00086,-0.019916862,-0.01717
0.00044,-0.019531721,-0.02003
-0.0037,-0.020543968,-0.0236
-0.00978,-0.021463392,-0.02607
-0.00915,-0.023510423,-0.02764
-0.0029,-0.02367747,-0.01851
0.00179,-0.019840293,-0.02118
0.00297,-0.018510329,-0.00343
0.00195,-0.01646024,-0.01559
-0.02065,-0.016208677,-0.03495
-0.00259,-0.022408348,-0.02043
0.00058,-0.021146338,-0.02056
0.00492,-0.018282225,-0.01405
-0.00243,-0.017565321,-0.0198
-0.00146,-0.01897576,-0.01576
0.00021,-0.019805122,-0.02018
0.00156,-0.019129911,-0.01888
0.00447,-0.018393595,-0.02007
-0.00679,-0.016812775,-0.0265
-0.00087,-0.018379588,-0.01917
-0.0015,-0.018702082,-0.02156
-0.00591,-0.018240923,-0.02271
0.00089,-0.01919517,-0.01867
0.00576,-0.018836351,-0.01214
-0.0012,-0.016678862,-0.01976
-0.00235,-0.017109085,-0.02223
-0.00251,-0.017835625,-0.0211
-0.00331,-0.016828006,-0.0214
0.00148,-0.018101545,-0.01926
-0.00504,-0.016778296,-0.02167
0.00046,-0.017798623,-0.02272
0.00151,-0.017891815,-0.01561
0.00564,-0.015921298,-0.01512
0.00676,-0.016035635,-0.01361
-0.00236,-0.015933989,-0.01984
0.0094,-0.017762013,-0.00929
0.00429,-0.015588762,-0.01515
0.00214,-0.014139198,-0.01673
-0.00174,-0.016396362,-0.01985
-0.0038,-0.017426912,-0.0201
-0.00199,-0.017153176,-0.0186
-0.00405,-0.016635174,-0.01826
0.00795,-0.016589718,-0.00838
0.0078,-0.014213031,-0.01052
-0.00122,-0.012760455,-0.01658
-0.00046,-0.016579738,-0.02209
-0.00141,-0.01865102,-0.02068
-0.00205,-0.018691966,-0.02147
-0.00029,-0.01772689,-0.02001
0.00136,-0.016905589,-0.01739
0.00565,-0.016281804,-0.01793
0.00039,-0.015783332,-0.02029
-0.00643,-0.01727426,-0.02384
-0.00551,-0.019629626,-0.02643
-0.00029,-0.020376895,-0.02262
-0.00564,-0.019025035,-0.0226
-0.00045,-0.0190515,-0.02011
0.00046,-0.019335603,-0.02224
-0.00053,-0.018508911,-0.02444
-0.00465,-0.019627636,-0.02532
0.00174,-0.020383142,-0.01838
-0.00165,-0.01872673,-0.01777
-0.00156,-0.017467719,-0.0213
-0.00267,-0.019284204,-0.02573
-0.00053,-0.020019645,-0.01843
0.00556,-0.018526057,-0.01298
-0.00592,-0.01638249,-0.02563
-0.00478,-0.020045094,-0.02373
-0.00414,-0.021592284,-0.02399
-0.0106,-0.021188824,-0.02642
-0.00975,-0.02426553,-0.0304
-0.00859,-0.02563683,-0.0259
-0.00639,-0.02276437,-0.02206
0.00207,-0.020880435,-0.01729
-0.00153,-0.020100394,-0.02286
-0.00279,-0.02025869,-0.02307
-0.00098,-0.021749992,-0.02138
-0.00017,-0.02121314,-0.02123
-0.00218,-0.020572573,-0.0223
-0.00161,-0.02110549,-0.01871
0.00232,-0.021321587,-0.02001
0.00357,-0.020445477,-0.01724
-0.00229,-0.019257346,-0.02237
-0.00272,-0.020884326,-0.02303
-0.00245,-0.022287542,-0.02448
-0.00432,-0.02219003,-0.02271
-0.00655,-0.021800404,-0.02545
-0.00542,-0.022146435,-0.02369
-0.00243,-0.022864085,-0.02074
-0.00393,-0.021769658,-0.02144
0.00216,-0.021798436,-0.02163
-0.00264,-0.021670401,-0.02318
-0.00157,-0.021748269,-0.01926
-0.00496,-0.021829696,-0.02264
-0.00072,-0.02271905,-0.02307
-0.00809,-0.022296676,-0.02737
0.00543,-0.02287681,-0.01598
-0.00446,-0.020774275,-0.0245
-0.00169,-0.020156186,-0.02111
-0.00326,-0.021962421,-0.02291
-0.00011,-0.021258745,-0.01833
-0.00068,-0.020893883,-0.01845
0.00239,-0.020068176,-0.01558
-0.00443,-0.018652746,-0.02144
-0.00006,-0.019361483,-0.01922
0.00064,-0.020755643,-0.02023
0.0012,-0.019905446,-0.01879
-0.00295,-0.01976511,-0.02014
-0.00218,-0.020457357,-0.02168
