TRUE,fit,prediction
-0.00602,-0.006067839,
-0.01652,-0.015477933,
-0.00888,-0.007997399,
-0.00642,-0.005713204,
-0.00565,-0.004130519,
-0.00926,-0.008379711,
-0.00447,0.000832454,
-0.00852,-0.00461809,
-0.00347,-0.003188036,
0.00154,0.003146883,
-0.00426,-0.001847096,
-0.00277,-0.00334805,
-0.00148,-0.002314731,
-0.0038,-0.004419906,
-0.00381,-0.002120808,
-0.00468,-0.005524785,
-0.00704,-0.006651095,
-0.01069,-0.010115203,
-0.01222,-0.0133359,
-0.01494,-0.01085024,
-0.00155,-0.002424821,
-0.00616,-0.004516965,
-0.00217,-0.000557251,
-0.0077,-0.008240503,
-0.00746,-0.006831846,
-0.00083,-0.003846903,
-0.00453,-0.005329849,
-0.00711,-0.005450765,
-0.0116,-0.012729951,
-0.00971,-0.008235636,
-0.01049,-0.010543788,
-0.0078,-0.005975853,
-0.00762,-0.00811719,
-0.00436,-0.008491934,
-0.0073,-0.00811991,
-0.0112,-0.0106125,
-0.00633,-0.002667636,
-0.01886,-0.01841967,
-0.00567,-0.007756777,
-0.0092,-0.008632616,
-0.01019,-0.010445738,
-0.00546,-0.003910503,
-0.00343,-0.00722659,
-0.0071,-0.007507448,
-0.00532,-0.008103759,
-0.00332,-0.005011215,
0.00658,0.003800246,
-0.0093,-0.010843809,
-0.00537,-0.005720249,
-0.00516,-0.002176445,
-0.00901,-0.004896196,
-0.00523,-0.003297612,
-0.01321,-0.012883411,
-0.00827,-0.007472435,
-0.00519,-0.005317045,
-0.00683,-0.004618016,
-0.00458,-0.005033875,
0.00133,0.000267224,
-0.00582,-0.00186249,
-0.01108,-0.00394141,
-0.00855,-0.006815263,
0.00068,-0.007135769,
-0.00343,-0.004246128,
-0.00308,-0.00128451,
-0.0016,0.000293999,
0.00222,-0.002032652,
0.0021,0.002281521,
0.0022,0.003582014,
-0.00802,-0.008379372,
-0.00169,-0.002108042,
-0.0054,-0.007512904,
-0.00309,-0.00280274,
-0.00271,-0.003652773,
-0.00656,-0.009080843,
-0.00193,-0.002388896,
0.00324,0.001160025,
0.00559,0.002386572,
0.00086,-0.001676993,
0.00491,0.00300315,
0.00469,0.003013418,
0.00126,0.001232637,
0.00013,-0.001767368,
-0.0031,-0.001495551,
-0.00031,-0.000297115,
-0.00488,-0.002461632,
0.0022,0.006415436,
-0.00508,-0.00213904,
-0.00123,-0.002502326,
-0.00247,-0.000440447,
-0.00256,-0.007621337,
-0.00453,-0.005436827,
0.00023,0.002232272,
-0.00384,-0.002516477,
-0.00113,-0.001234013,
-0.00702,-0.007504681,
0.00148,0.000438023,
-0.01128,-0.009969874,
-0.01231,-0.011993124,
-0.00239,-0.002299516,
-0.00125,0.001223441,
0.00031,-0.001607275,
0.00086,0.002270762,
-0.00153,-0.002155108,
0.00268,0.007627805,
0.00528,0.000951705,
0.00727,-0.000693131,
0.00149,0.003605423,
-0.00787,-0.007444402,
-0.00722,-0.00703431,
-0.0026,-0.002488432,
-0.00147,-0.000549813,
0.00274,0.001477431,
-0.01088,-0.008841312,
0.00079,0.000237977,
-0.00004,-0.001867688,
0.00036,-0.000124203,
-0.00022,-0.002593996,
-0.01075,-0.00759349,
-0.00813,-0.00687108,
-0.0054,-0.006708907,
-0.00196,-0.001917868,
-0.00297,-0.008531575,
-0.00459,-0.006056671,
-0.00842,-0.006222449,
-0.00566,-0.002480378,
-0.00887,-0.007795718,
0.00117,0.002037356,
0.00161,0.000268384,
0.00626,0.010822482,
-0.00038,0.003567344,
0.00692,0.006495193,
-0.00258,-0.00378636,
0.00082,0.001076081,
-0.00986,-0.012988028,
-0.00467,-0.003387202,
-0.00564,-0.003557871,
-0.00139,0.005067138,
-0.00081,0.000442983,
-0.00245,0.001843783,
0.00217,0.004490351,
0.00483,0.00156085,
-0.00042,0.00197621,
0.0101,0.019717332,
-0.01065,-0.009820877,
-0.01241,-0.005320796,
0.00502,0.002467362,
-0.00459,-0.004811016,
0.00745,0.001196094,
-0.01074,-0.009296231,
-0.00748,-0.007173471,
-0.00634,0.000329743,
-0.00241,-0.002075661,
