,XGB1,HEZJ
0,0.009950635,0.01015
1,0.009332393,0.00853
2,0.014388685,0.01433
3,0.008817424,0.01048
4,0.009517122,0.00988
5,0.005731898,0.00699
6,0.009517122,0.00904
7,-0.001221755,0.00253
8,0.004289408,0.00674
9,0.005033103,0.00851
10,0.004289408,0.00747
11,-0.001091008,-0.00071
12,-0.00717607,-0.00404
13,-0.005473505,-0.00235
14,0.003910109,0.00947
15,0.001341226,-0.00113
16,0.002388184,0.00217
17,-0.002774255,0.00464
18,-0.000704221,0.00095
19,-0.000474345,0.00053
20,-0.00363287,-0.00237
21,0.005147486,0.00653
22,0.002384821,0.0032
23,-0.001554322,0.00001
24,-0.00363287,0.00089
25,-0.002444676,-0.00104
26,-0.002246782,-0.00379
27,-0.006144754,-0.00267
28,-0.000965801,0.00118
29,0.002661438,0.00247
30,-0.00521912,-0.00675
31,-0.005736558,-0.00311
32,-0.004710752,-0.00386
33,-0.005875649,-0.00537
34,-0.004138325,-0.0054
35,-0.005645575,-0.00572
36,-0.0045839,-0.00267
37,-0.007132686,-0.00525
38,-0.002451224,-0.00116
39,0.002578989,0.00094
40,-0.000148501,0.00073
41,0.002882907,0.00482
42,0.002661438,0.00289
43,0.002661438,0.0045
44,6.44E-05,-0.00014
45,0.002474068,0.00465
46,0.003407555,0.00579
47,0.000154348,-0.00037
48,0.002302372,0.00065
49,-0.000207285,0.00179
50,-0.001224654,0.00109
51,-0.002015109,-0.00176
52,0.003740985,0.00547
53,0.002379742,0.00479
54,0.01811659,0.01277
55,0.000237258,0.00093
56,0.002302372,0.00131
57,7.19E-05,0.00227
58,-0.00060614,0.00207
59,0.002882907,0.00231
60,0.006416916,0.00936
61,0.003910109,0.00595
62,0.011795634,0.00884
63,0.00754172,0.0075
64,0.009605263,0.00808
65,0.008358403,0.00814
66,4.55E-05,0.00412
67,-0.001556251,-0.00248
68,0.001665119,0.00304
69,0.002882907,0.00432
70,0.008373727,0.00504
71,0.002882907,0.003
72,0.012174257,0.01196
73,0.009460869,0.00769
74,0.006431286,0.00702
75,0.002661438,0.00339
76,0.011980362,0.00843
77,0.005033103,0.00699
78,0.002882907,0.00427
79,-0.000711848,-0.00176
80,-0.001388836,-0.00264
81,-0.001388836,-0.00142
82,-0.002129583,-0.00296
83,-0.001509755,-0.00403
84,0.002882907,0.00337
85,0.002379742,0.00224
86,0.00121004,-0.00056
87,0.001887119,0.00452
88,0.005025785,0.00692
89,0.004289408,0.00535
90,0.007823416,0.00515
91,0.002587614,0.00572
92,0.008696104,0.00985
93,0.004001555,0.00523
94,0.002806644,0.00217
95,0.002502726,0.00234
96,0.004213145,0.00621
97,0.007921895,0.00777
98,0.002530027,0.00469
99,0.01347887,0.01442
100,-0.000547572,-0.00351
101,0.001296694,0.0008
102,0.012528877,0.01454
103,0.022464562,0.0196
104,0.021943385,0.01894
105,0.01675218,0.01495
106,0.022464562,0.01838
107,0.016231,0.01143
108,0.015215332,0.01191
109,0.00380131,0.00858
110,0.002920847,0.00869
111,0.01675218,0.01333
112,0.009315875,0.01155
113,0.011378714,0.01061
114,0.014626363,0.0145
115,0.007975042,0.01635
116,0.011339604,0.01613
117,0.01209225,0.01406
118,0.013790091,0.01299
119,0.0136249,0.00849
120,0.009633443,0.00502
121,0.007851006,0.00238
122,0.007324542,0.00797
123,0.0093291,0.01072
124,0.010893048,0.01203
125,-0.001768784,0.00212
