TRUE,fit,prediction
0.00609,0.004186887,
-0.00797,-0.006205389,
-0.00353,-0.00417756,
-0.00404,-0.003818011,
-0.00036,-0.004172727,
-0.00175,0.001010501,
-0.00378,-0.000405413,
-0.00124,-0.001927693,
-0.0016,-0.003650164,
0.00171,0.000503362,
-0.00097,-0.00569002,
0.0033,-0.002211919,
-0.00305,-0.006520401,
-0.00019,-0.001886468,
-0.00789,-0.003019586,
0.00065,0.000299144,
-0.00102,0.000827232,
-0.00375,-0.004486461,
-0.00654,-0.006478377,
-0.00661,-0.013743124,
-0.00413,-0.007366339,
0.00287,-0.007086891,
-0.00922,-0.014602615,
-0.01594,-0.011306035,
-0.00645,-0.007505363,
-0.01461,-0.002040178,
-0.01195,-0.011058626,
-0.01464,-0.012536929,
-0.00508,-0.005443867,
-0.00429,-0.003951151,
-0.01112,-0.010304683,
-0.01489,-0.016577175,
-0.00934,-0.01209012,
-0.01136,-0.012193783,
-0.01173,-0.012088924,
-0.00499,-0.006031638,
-0.00856,-0.009235219,
-0.01406,-0.011553324,
-0.01072,-0.012539377,
-0.01616,-0.01310786,
-0.00562,-0.001629451,
-0.00929,-0.009414877,
-0.01127,-0.015174229,
-0.01136,-0.011360147,
-0.01492,-0.013441053,
-0.01498,-0.007033487,
-0.01574,-0.015668849,
-0.01985,-0.015319915,
-0.01578,-0.012399203,
-0.01335,-0.010493632,
-0.01202,-0.009779843,
-0.0138,-0.013424825,
-0.01438,-0.015824646,
-0.01365,-0.011214561,
-0.01067,-0.011837954,
-0.01386,-0.012081076,
-0.00754,-0.01389436,
-0.00515,-0.007270301,
-0.00513,-0.007964907,
-0.00761,-0.006265863,
-0.00932,-0.012399203,
-0.00846,-0.007081592,
-0.0096,-0.011563702,
-0.00795,-0.008473693,
-0.00676,-0.007831087,
-0.01008,-0.010942715,
-0.01064,-0.011930112,
-0.01441,-0.013435255,
-0.01355,-0.013456257,
-0.00822,-0.009737411,
-0.01493,-0.015712744,
-0.00657,-0.005023689,
-0.00863,-0.006694173,
-0.00725,-0.00495541,
-0.0078,-0.005328292,
-0.0038,-0.004079404,
-0.00483,-0.005032245,
-0.00202,-0.00172095,
-0.00305,-0.002205752,
-0.00193,-0.006994144,
-0.00482,-0.006830005,
-0.00419,-0.001640066,
-0.00787,-0.006557741,
-0.01492,-0.014996998,
-0.01153,-0.011038654,
-0.0034,-0.000407174,
-0.00313,-0.004088604,
-0.00312,-0.005179225,
0.00253,-0.000469769,
-0.00179,0.00364348,
-0.01401,-0.010493632,
-0.00871,-0.007390507,
-0.00311,-0.000293499,
-0.01277,-0.014876909,
-0.00781,-0.009006102,
-0.00772,-0.008616122,
-0.00283,-0.002508664,
0.00046,-0.000886608,
-0.00202,-0.003614046,
-0.00376,-0.004737852,
-0.00686,-0.007578185,
-0.01124,-0.008786402,
-0.00769,-0.005446428,
-0.00231,-0.001840174,
-0.00162,0.001197955,
-0.00606,-0.002743142,
-0.00863,-0.006595578,
-0.01355,-0.012389681,
-0.01376,-0.012665328,
-0.01178,-0.012402673,
-0.01239,-0.011339975,
-0.01318,-0.008996247,
-0.01374,-0.010595746,
-0.01034,-0.009621881,
-0.01162,-0.010942715,
-0.00929,-0.009302948,
-0.0093,-0.008449902,
-0.00122,-0.003373689,
-0.00331,-0.001345353,
-0.00936,-0.005668842,
-0.00217,-0.001467813,
0.00095,-0.002966782,
0.00184,0.00192857,
0.00343,0.00883856,
0.0019,0.002757922,
0.00108,0.000511719,
-0.00193,-0.007514953,
-0.00341,-0.004005482,
-0.00151,0.001552519,
0,-0.000797644,
-0.0081,-0.009131163,
-0.00684,-0.00772396,
-0.00238,-0.004043777,
-0.00917,-0.007123968,
-0.01066,-0.0101993,
-0.01209,-0.010624588,
-0.00883,-0.004845627,
-0.00193,-0.011013976,
-0.00912,-0.007695727,
-0.01097,-0.00739765,
-0.00821,-0.008299114,
-0.00892,-0.008359358,
-0.00788,-0.003679201,
-0.00306,-0.00138551,
-0.01172,-0.010942715,
-0.00562,-0.004224399,
-0.00556,-0.002112321,
-0.00802,-0.004049934,
-0.00562,-0.003787699,
-0.00962,-0.006422327,
-0.00487,-0.004574402,
-0.01222,-0.009016952,
-0.0072,-0.007143256,
-0.00862,-0.010476303,
-0.00771,-0.008885857,
-0.00188,-0.000392533,
-0.00781,-0.007459664,
-0.0063,-0.006422327,
-0.00703,-0.005583925,
-0.00734,-0.004855415,
-0.00512,-0.006422327,
-0.01225,-0.01433113,
-0.01227,-0.01158332,
-0.01629,-0.015330078,
-0.00991,-0.00971671,
