BJFS,BJYQ,BJSH,BJGB,TJBD,TJBH,TJWQ,HEYY,HELQ,HELY,HECC,HEZJ,HECD,HETS,SXLQ,XGB1
0.01063,-0.01015,-0.01398,-0.01506,-0.01532,-0.05601,-0.09464,-0.02354,-0.02337,-0.03077,-0.01605,-0.00762,-0.01945,-0.01104,-0.02099,-0.006583038
0.00991,-0.01289,-0.0168,-0.01447,-0.028,-0.06162,-0.10117,-0.0243,-0.02424,-0.04305,-0.01643,-0.00436,-0.02038,-0.01407,-0.02376,-0.008115971
0.01231,-0.01004,-0.01156,-0.01462,-0.01271,-0.05654,-0.10116,-0.02242,-0.02222,-0.03081,-0.01441,-0.0073,-0.01879,-0.01207,-0.02177,-0.006043909
0.00891,-0.012,-0.01202,-0.01652,-0.01658,-0.06071,-0.1047,-0.02602,-0.02827,-0.02967,-0.01679,-0.0112,-0.02129,-0.01365,-0.02389,-0.00966724
0.00975,0.00467,-0.0071,-0.01361,-0.01455,-0.05515,-0.09578,-0.01861,-0.02096,-0.02738,-0.01657,-0.00633,-0.01691,-0.00922,-0.01889,-0.002996406
0.00095,-0.0179,-0.02276,-0.02243,-0.02307,-0.0649,-0.10504,-0.03416,-0.03438,-0.03922,-0.02689,-0.01886,-0.02685,-0.01892,-0.03519,-0.016426757
0.01295,-0.00945,-0.01113,-0.01252,-0.01237,-0.05098,-0.0951,-0.02196,-0.02239,-0.02762,-0.01692,-0.00567,-0.01788,-0.00668,-0.01692,-0.006739033
0.00938,-0.0111,-0.01352,-0.01533,-0.01775,-0.05908,-0.10272,-0.02434,-0.02489,-0.03049,-0.01652,-0.0092,-0.02007,-0.01365,-0.02312,-0.009663487
0.00706,-0.01317,-0.01446,-0.01797,-0.01666,-0.06027,-0.09741,-0.02559,-0.02378,-0.03312,-0.01828,-0.01019,-0.02366,-0.01345,-0.02548,-0.00839979
0.01194,-0.00991,-0.01222,-0.01216,-0.01424,-0.05607,-0.09525,-0.0208,-0.0232,-0.03259,-0.01355,-0.00546,-0.01732,-0.00949,-0.01856,-0.004963478
0.0128,-0.00443,-0.00766,-0.0115,-0.01079,-0.05473,-0.09639,-0.02204,-0.02071,-0.028,-0.012385,-0.00343,-0.01276,-0.00796,-0.01612,-0.006531124
0.0139,-0.00689,-0.01284,-0.01078,-0.01241,-0.05457,-0.09889,-0.02197,-0.02015,-0.02603,-0.01424,-0.0071,-0.01643,-0.01039,-0.01718,-0.006236543
0.00933,-0.00907,-0.01204,-0.01314,-0.01419,-0.05822,-0.10829,-0.0232,-0.02261,-0.02726,-0.01552,-0.00532,-0.01914,-0.0137,-0.01943,-0.008701948
0.0124,-0.00687,-0.00899,-0.0119,-0.01303,-0.05577,-0.09862,-0.02035,-0.02197,-0.02701,-0.012,-0.00332,-0.0187,-0.00905,-0.01905,-0.003796687
0.02285,0.00278,0.00183,-0.00178,-0.00277,-0.0468,-0.08713,-0.00908,-0.01213,-0.01491,0.00091,0.00658,-0.00669,-0.00137,-0.00972,0.003456655
0.00843,-0.0119,-0.01512,-0.0199,-0.02133,-0.06146,-0.09825,-0.02686,-0.02743,-0.03232,-0.02025,-0.0093,-0.02268,-0.01638,-0.02704,-0.009070494
0.01465,-0.00486,-0.00959,-0.01278,-0.01165,-0.05272,-0.09468,-0.01801,-0.02283,-0.0259,-0.01605,-0.00537,-0.01651,-0.00653,-0.01969,-0.003198328
0.01256,-0.00925,-0.01014,-0.01078,-0.0132,-0.05377,-0.10022,-0.02158,-0.02111,-0.02506,-0.01577,-0.00516,-0.02034,-0.00933,-0.01126,0.001076174
0.01095,-0.00799,-0.01146,-0.01357,-0.01569,-0.05726,-0.10426,-0.02339,-0.02288,-0.02565,-0.01452,-0.00901,-0.01975,-0.00969,-0.01793,-0.005501167
0.01153,-0.00338,-0.01267,-0.01238,-0.01309,-0.0571,-0.159835,-0.02003,-0.02486,-0.02874,-0.01879,-0.00523,-0.02213,-0.01058,-0.02026,-0.00407708
0.00607,-0.01703,-0.01493,-0.01685,-0.01741,-0.06136,-0.10397,-0.02626,-0.03009,-0.03286,-0.02057,-0.01321,-0.0226,-0.01493,-0.02848,-0.01250814
0.01186,-0.00721,-0.00986,-0.01225,-0.01353,-0.05643,-0.10385,-0.02406,-0.025,-0.02507,-0.01539,-0.00827,-0.02,-0.00972,-0.02178,-0.008076099
0.01071,-0.00743,-0.00926,-0.01249,-0.01222,-0.0583,-0.10455,-0.0213,-0.02078,-0.02475,-0.01369,-0.00519,-0.0202,-0.01143,-0.01935,-0.004889456
0.01057,-0.00992,-0.00632,-0.01455,-0.01357,-0.05834,-0.10823,-0.02064,-0.02448,-0.02939,-0.01588,-0.00683,-0.02107,-0.0148,-0.02043,-0.004983685
0.01157,-0.00709,-0.01493,-0.01391,-0.01361,-0.05791,-0.10161,-0.02021,-0.02618,-0.02946,-0.01256,-0.00458,-0.02082,-0.01216,-0.01749,-0.004650563
0.01856,-0.00178,-0.00632,-0.00639,-0.00836,-0.05335,-0.09148,-0.0154,-0.01874,-0.02291,-0.008,0.00133,-0.01115,-0.00473,-0.01184,-0.000834321
0.01102,-0.00602,-0.01016,-0.01201,-0.01362,-0.05718,-0.10251,-0.01537,-0.02478,-0.02612,-0.017,-0.00582,-0.01673,-0.01312,-0.01605,-0.003189251
0.00674,-0.01202,-0.01383,-0.01595,-0.01594,-0.05845,-0.10844,-0.02492,-0.02722,-0.03227,-0.02008,-0.01108,-0.01783,-0.01338,-0.02594,-0.009291083
0.01643,-0.00558,-0.01208,-0.0135,-0.01329,-0.05495,-0.09992,-0.02277,-0.02384,-0.02937,-0.01417,-0.00855,-0.01718,-0.00942,-0.02097,-0.004603209
0.01251,-0.00091,-0.0086,-0.01361,-0.01268,-0.05722,-0.09844,-0.02334,-0.02104,-0.02626,-0.01493,0.00068,-0.0166,-0.01078,-0.01888,-0.004942119
0.01338,-0.00575,-0.00702,-0.00746,-0.009,-0.05439,-0.09463,-0.01853,-0.02063,-0.02447,-0.01101,-0.00343,-0.01386,-0.00806,-0.01868,-0.003306775
0.01569,-0.00315,-0.00632,-0.00823,-0.00908,-0.05483,-0.09513,-0.01883,-0.02091,-0.02413,-0.01173,-0.00308,-0.0119,-0.00833,-0.01721,-0.002915793
0.01743,-0.00199,-0.01044,-0.00881,-0.00813,-0.05588,-0.10115,-0.01815,-0.02357,-0.02452,-0.01225,-0.0016,-0.01631,-0.00928,-0.01513,-0.001690106
0.01327,0.00016,-0.01018,-0.00605,-0.00767,-0.05298,-0.09645,-0.01707,-0.01706,-0.02421,-0.00999,0.00222,-0.01327,-0.00901,-0.0138,-0.001767884
0.02093,0.00153,-0.00073,-0.00547,-0.00233,-0.04892,-0.09008,-0.01367,-0.01226,-0.01689,-0.00598,0.0021,-0.01121,-0.0046,-0.01062,0.001569939
0.02117,-0.00098,-0.00632,-0.00412,-0.00197,-0.04711,-0.09155,-0.0137,-0.01302,-0.01602,-0.00867,0.0022,-0.00928,-0.00444,-0.01041,0.002858477
0.00984,-0.00918,-0.01107,-0.01333,-0.01358,-0.05678,-0.09753,-0.02392,-0.01373,-0.0286,-0.01824,-0.00802,-0.01702,-0.01062,-0.02255,-0.007493447
0.01551,-0.00552,-0.00753,-0.00917,-0.01115,-0.05496,-0.09741,-0.01975,-0.01821,-0.02195,-0.0127,-0.00169,-0.01192,-0.00911,-0.01711,-0.002557768
