TRUE,fit,prediction
0.00609,0.003794651,
-0.00797,-0.006217189,
-0.00353,-0.0061741,
-0.00404,-0.003833819,
-0.00036,-0.002707851,
-0.00175,-9.53E-05,
-0.00378,0.000837507,
-0.00124,-0.002422505,
-0.0016,-0.004524905,
0.00171,0.000413567,
-0.00097,-0.005293039,
0.0033,-0.00338424,
-0.00305,-0.007728375,
-0.00019,-0.002013375,
-0.00789,-0.001990998,
0.00065,0.003439825,
-0.00102,-0.001011493,
-0.00375,-0.00443239,
-0.00654,-0.00462446,
-0.00661,-0.009105406,
-0.00413,-0.008893985,
0.00287,-0.00816695,
-0.00922,-0.014190656,
-0.01594,-0.012941698,
-0.00645,-0.007366237,
-0.01461,-0.001026009,
-0.01195,-0.011200835,
-0.01464,-0.011016879,
-0.00508,-0.006032576,
-0.00429,-0.003712722,
-0.01112,-0.00922464,
-0.01489,-0.015300801,
-0.00934,-0.010145653,
-0.01136,-0.014418345,
-0.01173,-0.011971734,
-0.00499,-0.006095437,
-0.00856,-0.008429273,
-0.01406,-0.0135147,
-0.01072,-0.011206022,
-0.01616,-0.013319201,
-0.00562,-0.002789519,
-0.00929,-0.010411232,
-0.01127,-0.013782206,
-0.01136,-0.011854338,
-0.01492,-0.014841533,
-0.01498,-0.010402128,
-0.01574,-0.016068993,
-0.01985,-0.017105356,
-0.01578,-0.013032401,
-0.01335,-0.01179662,
-0.01202,-0.010736934,
-0.0138,-0.012041317,
-0.01438,-0.015229164,
-0.01365,-0.012517547,
-0.01067,-0.012390214,
-0.01386,-0.012575268,
-0.00754,-0.012425228,
-0.00515,-0.009038293,
-0.00513,-0.00763338,
-0.00761,-0.00819341,
-0.00932,-0.013032401,
-0.00846,-0.006411345,
-0.0096,-0.013157312,
-0.00795,-0.009580615,
-0.00676,-0.007071003,
-0.01008,-0.011589294,
-0.01064,-0.010275352,
-0.01441,-0.012658536,
-0.01355,-0.012544177,
-0.00822,-0.011985991,
-0.01493,-0.013724916,
-0.00657,-0.005543295,
-0.00863,-0.007441755,
-0.00725,-0.005692772,
-0.0078,-0.00598661,
-0.0038,-0.005518904,
-0.00483,-0.005375531,
-0.00202,-0.001760324,
-0.00305,-0.003034223,
-0.00193,-0.008297775,
-0.00482,-0.006324636,
-0.00419,-0.001811322,
-0.00787,-0.006234223,
-0.01492,-0.013590936,
-0.01153,-0.011968349,
-0.0034,0.000168796,
-0.00313,-0.004363858,
-0.00312,-0.002664332,
0.00253,0.000328146,
-0.00179,0.002546905,
-0.01401,-0.010421866,
-0.00871,-0.00714354,
-0.00311,-0.00170011,
-0.01277,-0.011831916,
-0.00781,-0.007954756,
-0.00772,-0.00772435,
-0.00283,-0.003271482,
0.00046,-0.000330502,
-0.00202,-0.00470431,
-0.00376,-0.00471772,
-0.00686,-0.007643017,
-0.01124,-0.007716518,
-0.00769,-0.006122985,
-0.00231,-0.005356729,
-0.00162,-0.000515126,
-0.00606,-0.004218882,
-0.00863,-0.007216956,
-0.01355,-0.014733492,
-0.01376,-0.012616843,
-0.01178,-0.013174346,
-0.01239,-0.010914079,
-0.01318,-0.00950382,
-0.01374,-0.013183811,
-0.01034,-0.008302841,
-0.01162,-0.011589294,
-0.00929,-0.009691263,
-0.0093,-0.00825655,
-0.00122,-0.001083241,
