TRUE,fit,prediction
0.00609,0.002887804,
-0.00797,-0.006282102,
-0.00353,-0.005737196,
-0.00404,-0.005098203,
-0.00036,-0.004039642,
-0.00175,0.001259363,
-0.00378,0.000343728,
-0.00124,-0.002502855,
-0.0016,-0.003501796,
0.00171,-0.000264322,
-0.00097,-0.003215348,
0.0033,-0.004346307,
-0.00305,-0.006823017,
-0.00019,-0.002197397,
-0.00789,-0.001480154,
0.00065,0.002708781,
-0.00102,-0.000709382,
-0.00375,-0.004512887,
-0.00654,-0.005448494,
-0.00661,-0.00890098,
-0.00413,-0.008716085,
0.00287,-0.008035182,
-0.00922,-0.013877613,
-0.01594,-0.012587061,
-0.00645,-0.008097749,
-0.01461,-0.002831234,
-0.01195,-0.01198819,
-0.01464,-0.012599587,
-0.00508,-0.005602768,
-0.00429,-0.003414962,
-0.01112,-0.010292361,
-0.01489,-0.015003939,
-0.00934,-0.011880208,
-0.01136,-0.013464346,
-0.01173,-0.012649355,
-0.00499,-0.006549459,
-0.00856,-0.008827162,
-0.01406,-0.012642062,
-0.01072,-0.01233895,
-0.01616,-0.011977037,
-0.00562,-0.002768527,
-0.00929,-0.009646958,
-0.01127,-0.014674094,
-0.01136,-0.011067851,
-0.01492,-0.016174339,
-0.01498,-0.009045865,
-0.01574,-0.017051077,
-0.01985,-0.016011113,
-0.01578,-0.012034461,
-0.01335,-0.009790029,
-0.01202,-0.009686046,
-0.0138,-0.011237917,
-0.01438,-0.014654461,
-0.01365,-0.011117522,
-0.01067,-0.01236955,
-0.01386,-0.011182216,
-0.00754,-0.013062673,
-0.00515,-0.009700871,
-0.00513,-0.007099711,
-0.00761,-0.007333719,
-0.00932,-0.012794102,
-0.00846,-0.007455303,
-0.0096,-0.011730998,
-0.00795,-0.009094076,
-0.00676,-0.00710601,
-0.01008,-0.011105506,
-0.01064,-0.010996738,
-0.01441,-0.012602748,
-0.01355,-0.013122949,
-0.00822,-0.010970525,
-0.01493,-0.015698515,
-0.00657,-0.004766986,
-0.00863,-0.006401876,
-0.00725,-0.005265938,
-0.0078,-0.005925042,
-0.0038,-0.004107753,
-0.00483,-0.005797404,
-0.00202,-0.001739855,
-0.00305,-0.002576195,
-0.00193,-0.00982499,
-0.00482,-0.005969025,
-0.00419,-0.002573845,
-0.00787,-0.005412117,
-0.01492,-0.014107026,
-0.01153,-0.011244683,
-0.0034,-0.000496869,
-0.00313,-0.004293446,
-0.00312,-0.004003217,
0.00253,0.00010515,
-0.00179,0.001656119,
-0.01401,-0.009463192,
-0.00871,-0.006339425,
-0.00311,0.000947361,
-0.01277,-0.013506544,
-0.00781,-0.008226871,
-0.00772,-0.008183945,
-0.00283,-0.003048579,
0.00046,0.000247597,
-0.00202,-0.003788906,
-0.00376,-0.004627584,
-0.00686,-0.006823017,
-0.01124,-0.00947833,
-0.00769,-0.005421121,
-0.00231,-0.005974905,
-0.00162,-0.000191598,
-0.00606,-0.004463187,
-0.00863,-0.006731385,
-0.01355,-0.012333171,
-0.01376,-0.013056094,
-0.01178,-0.013449172,
-0.01239,-0.011098971,
-0.01318,-0.009007248,
-0.01374,-0.013058134,
-0.01034,-0.010863228,
-0.01162,-0.010146496,
-0.00929,-0.010239172,
-0.0093,-0.008862874,
-0.00122,-0.00206231,
-0.00331,-0.001444007,
-0.00936,-0.006167406,
-0.00217,0.000124211,
